﻿Thématique;Sous-thématique;Nom de l'Enquête;Description rapide;Producteur;Types de données;Maille d'étude;Lien;Niveau géographique;Périodicité;Variables;Types d'accès
Tourisme durable;Energie,GES;Base Carbone;"La Base Carbone® est une base de données publique de facteurs d'émissions, nécessaires à la réalisation d’un bilan d’émissions de gaz à effet de serre (GES) et plus généralement tout exercice de comptabilité carbone. La Base Carbone® est une base de données publique de facteurs d'émissions, nécessaires à la réalisation d’un bilan d’émissions de gaz à effet de serre (GES) et plus généralement tout exercice de comptabilité carbone.
Elle est la base de données de référence de l'article 75 de la loi Grenelle II, relatif à l’obligation de réalisation d’un Bilan GES pour les entreprises de plus de 500 salariés, les établissements publics de plus de 250 agents et les collectivités de plus de 50 000 habitants.";Agence de l'environnement et de la maîtrise de l'énergie (ADEME);Base de données;Individuelle (entreprise);https://www.data.gouv.fr/fr/datasets/base-carbone-r-1/;National;Au fil de l'eau;;Open data
Economie;Hébergement;France Tourisme Observation;Territoires et filières;Atout France;Enquête;;https://toucan-front.tourisme-datahub.fr/;National;Mensuelle;"Volume de nuitées selon la nature du séjour (pro/famille, etc…);  par espaces (villes; montagnes; campagnes; et littoral); taux national de départ; mesures par types d'hébergement (Locatif PAP; HPA;) données outre-mer sur les hébergements et l'aérien";Limité
Transport;Fréquentation,PoI;Observatoire national du covoiturage au quotidien;Ce dashboard indique les flux mensuels de passagers, la densité de trajets, le taux d'occupation des véhicules partagés et le volume de trajets par territoire, les aires et voies de covoiturages.;Ministère de la Transition écologique;Dashboard;;http://observatoire.covoiturage.beta.gouv.fr/;Communal;Mensuelle;"flux mensuels de passagers; densité de trajets;  taux d'occupation des véhicules partagés et le volume de trajets par territoire; aires de covoiturage; voies de covoiturage";Open data
Données de référence;Immobilier,Fréquentation;Logements vacants du parc privé par ancienneté de vacance, par commune et par EPCI;Ces données permettent de dénombrer le nombre de logements du parc privé vacants par commune et par EPCI et par ancienneté de vacance. Elles permettent ainsi de distinguer la vacance de courte durée, dite frictionnelle, de la vacance de longue durée, dite structurelle, cible du plan national de lutte contre les logements vacants.;Ministère de la Transition écologique;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/logements-vacants-du-parc-prive-par-anciennete-de-vacance-par-commune-et-par-epci/;National;Annuelle;"Nombre de logements du parc privé; Nombre de logements vacants du parc privé; Nombre de logements du parc privé vacants depuis moins de deux ans; Nombre de logements du parc privé vacants depuis deux ans ou plus; Taux de logements vacants du parc privé; Taux de logements du parc privé vacants depuis moins de deux ans; Taux de logements du parc privé vacants depuis deux ans ou plus";Open data
Données de référence;PoI;Base Nationale des Lieux de Stationnement (BNLS);"La base des stationnements permet de regrouper en un unique fichier consolidé l’ensemble de l’offre de stationnement en France, dans un format standard et unifié. Cette standardisation des données facilite grandement le travail d’intégration de ces données par des services réutilisateurs.

La base présente plusieurs cas d’usage :

Elle permet de mettre en avant l’offre de stationnement d’une collectivité en permettant à des services de calcul d’itinéraire d’intégrer ces données. Cela permet notamment à ces services de proposer des itinéraires multimodaux à leurs usagers, combinant voiture et transports en commun par exemple ;
Elle peut servir également à apporter une plus grande transparence sur l’offre de stationnement existante dans une ville, et les tarifs qui y sont pratiqués.";transport.data.gouv;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/;National;Au fil de l'eau;"géolocalisation des parkings;  hauteur maximale des véhicules pouvant pénétrer dans au moins un espace du parking; nombre de places dans le parking (parfois déclinées en places réservées pour les abonnés, les personnes à mobilité réduite, pour les voitures électriques, les véhicules à deux-roues motorisés et non-motorisés);  le code SIRET de l'établissement gestionnaire du parking; le caractère gratuit ou payant du parking (parfois un détail est apporté sur le prix horaire ou le prix d'un abonnement mensuel/annuel)";Open data
Economie;Fréquentation;France Tourisme Observation;Fréquentation touristique;Atout France;Enquête;;https://toucan-front.tourisme-datahub.fr/;National;Mensuelle;Nombre de visiteurs;Limité
Economie;PoI;Base permantente des équipements (BPE);"La base permanente des équipements (BPE) est une base à vocation statistique. Elle répertorie un large éventail d'équipements et de services, marchands ou non, accessibles au public sur l'ensemble de la France au 1?? janvier de chaque année.

En 2021, elle porte sur 188 types de services et équipements différents, répartis en sept grands domaines : services aux particuliers, commerces, enseignement, santé-social, transports-déplacements, sports-loisirs-culture et tourisme.";INSEE;Base de données;Communale;https://www.insee.fr/fr/metadonnees/source/serie/s1242;National;Annuelle;"Zonage en aire d'attraction des villes 2020 d'implantation de l'équipement;
AN Millésime de la base;
BV2012 Bassin de vie 2012 d'implantation de l'équipement;
DCIRIS Code IRIS d'implantation de l'équipement;
DEP Département d'implantation de l'équipement;
DEPCOM Code département et commune d'implantation de l'équipement;
DOM Domaine d'appartenance de l'équipement;
EPCI Etablissement public de coopération intercommunal d'implantation de
l'équipement;
NB_EQUIP Nombre d'équipements;
REG Région d'implantation de l'équipement;
SDOM Sous-domaine d'appartenance de l'équipement;
TYPEQU Type d'équipement;
UU2020 Unité urbaine 2020 d'implantation de l'équipement";Open data
Sport & JOP;PoI;JO 2024 : communes labellisées Terres de jeux 2024;Le label Terre de Jeux 2024 permet à toutes les collectivités territoriales et aux acteurs du mouvement sportif, qui partagent la conviction que le sport peut changer les vies, de se fédérer autour d'un projet commun;Ministère de la Culture;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/jo-2024-communes-labellisees-terres-de-jeux-2024/;National;Ponctuelle;"code_insee;code_postal; region; departement; libelle_geographique";Open data
Alimentation & Gastronomie;PoI,Label,Produits locaux;Frais et local;Cette plateforme est le fruit d'un partenariat entre les chambres d'agriculture et le ministère de l'Agriculture et de l'Alimentation ouvert à toutes les plateformes de vente directe de produits agricoles. Tous ensemble nous avons souhaité unir nos forces pour offrir un point d'entrée unique aux consommateurs facilitant la recherche de produits fermiers de proximité et une visibilité renforcée aux agricultrices et agriculteurs adhérents des plateformes partenaires.;Ministère de l'Agriculture et de l'Alimentation;Base de données;Individuelle;https://www.fraisetlocal.fr/;National;Au fil de l'eau;"Commune; géolocalisation; type de produit; vente directe";Open data
Economie;Emploi touristique;Enquête Besoin de Main d'Œuvre (BMO);L’enquête Besoins en Main-d’œuvre (BMO) est une initiative de Pôle emploi, réalisée avec l’ensemble des directions régionales et le concours du Crédoc. L’enquête BMO est avant tout un outil d’aide à la décision pour Pôle emploi qui peut ainsi mieux connaître les intentions des établissements en matière de recrutement, mieux anticiper et adapter l’effort de financement des formations préparant à des métiers en tension et mieux informer les demandeurs d'emploi sur les métiers porteurs.;France Travail;Enquête;Départementale;https://statistiques.pole-emploi.org/bmo/sec?la=0&pp=2023&ss=1;National;Annuelle;"Région; Projets de recrutement; Difficultés à recruter; Emplois saisonniers.secteur d'activité";Open data
Culture;PoI;Photographies série « Monuments historiques » de 1851 à 1914;"Les 38 144 premières photographies du fonds Monument Historique de la Médiathèque de l’Architecture et du Patrimoine, inventoriées dans les sept premiers registres d’inventaire ; depuis la mission héliographique (1851) jusqu'en 1914. Notices textes et images issues de la base Mémoire.
Le fonds MH comprend plus de 300 000 images et est en cours de numérisation.
Les images en ligne sont des négatifs qui ont été positivés.";Ministère de la Culture;Photographie;Individuel (Œuvre);https://www.data.gouv.fr/fr/datasets/photographies-serie-monuments-historiques-de-1851-a-1914/;National;Au fil de l'eau;"PAYS; Région; Département; COMMUNE; EDIF; LEG; ADRESSE; OBJ; LIEUCOR; AUTP; AUTOEU; INSEE; Code DPT; Ancienne Régions; geoloc";Open data
Sport & JOP;Consommation,Dépense;Datalympics;Développement en cours d'une base de données ouvertes autour du financement des Jeux olympiques et paralympiques de Paris 2024;Ministère de la Transformation et de la Fonction publique;Base de données;Communale;https://eig.etalab.gouv.fr/defis/datalympics/;National;Au fil de l'eau;"Entreprise; marché public: financement; organisation; solideo";Open data
Economie;PoI,Agenda local;APIDAE;"Apidae permet à chaque territoire de garder la maîtrise de ses données touristiques (points d'intérêt, restauration et hébergement, itinéraires, événements, offres...), de les enrichir et de les diffuser, au service de ses usages.

Les fournisseurs de services (agences web, plateformes de services, éditeurs de logiciels…), partenaires des territoires via leurs organismes de gestion de destination, s'appuient sur la plateforme pour construire des systèmes d’information complets et performants.";APIDAE Tourisme;API;;https://apidae-tourisme.com/;National;Au fil de l'eau;;Limité
Sport & JOP;Loisir,Sport,PoI;Base de recensement des équipements sportifs, espaces et sites de pratiques;Data ES est d’abord une photographie quantitative des 330 000 équipements sportifs, espaces et sites de pratiques sur le territoire national dont les caractéristiques principales sont décrites au moyen d’environ 90 variables. Il permet d’obtenir une cartographie des équipements donnant un premier niveau de caractéristiques techniques (sur l’aire d’évolution, sur le nombre de vestiaires pour les sportifs et les arbitres, sur le nombre total de places assises en tribunes / gradins, l’année de mise en service, etc.), de caractéristiques d’usage par la description des types d’activités sportives pratiquées et praticables, le niveau de compétition, etc., ainsi que le niveau de classement fédéral attribué à l’équipement par la fédération délégataire.;Ministère des sports et des JOP;Base de données;Communale;https://www.sports.gouv.fr/le-recensement-des-equipements-sportifs-data-es-671;National;Au fil de l'eau;"Ville; Commune; departement; region; equipement; caractéristique; etc…";Open data
Tourisme durable;Nature,Biodiversité;INPN - Données du programme 'Espaces Protégés;L'Inventaire National du Patrimoine Naturel est le portail de la biodiversité et de la géodiversité françaises, de métropole et d'outre-mer.  Il diffuse la connaissance sur les espèces animales, végétales et de la fonge, les milieux naturels, les espaces protégés et le patrimoine géologique. L'ensemble de ces données de référence, validées par des réseaux d'experts, sont mises à la disposition de tous, professionnels, amateurs et citoyens. Les données d’observation et de suivi sur les espèces sont fournies par les partenaires, organisées, validées et diffusées au niveau national et international, notamment dans le cadre du Global Biodiversity Information Facility (GBIF).;Muséum National d'Histoire Naturelle (MNHN);Données géographiques;Individuelle;https://www.data.gouv.fr/fr/datasets/inpn-donnees-du-programme-espaces-proteges/;National;Au fil de l'eau;;Open data
Alimentation & Gastronomie;PoI,Label;Agence Bio;Créée en novembre 2001, l'Agence française pour le développement et la promotion de l'agriculture biologique, est une plateforme nationale d'information et d'actions qui s'inscrit dans une dynamique de développement, de promotion et de structuration de l'agriculture biologique française;Agence française pour le développement et la promotion de l'agriculture biologique;Base de données;Individuelle (parcelle bio);https://www.data.gouv.fr/fr/organizations/agence-bio/#/datasets;National;Au fil de l'eau;"Commune; Code surface (Ha); Postal; groupe de culture; bio";Open data
Transport;Transport ferroviaire;Transport ferroviaire;L'API SNCF met à disposition un ensemble de bases de données relatives au transport ferroviaire en France. Plus particulièrement, on y retrouve des données sur l'implantation des gares, le temps d'attente moyen par gare, la fréquentation, les incidents et travaux en direct, etc….;SNCF;Base de données;;https://data.sncf.com/pages/accueil/;Communal;Au fil de l'eau;"Données sur les gares; Données sur le réseau; Données Service voyageurs; Données Comptage et Flux";Open data
