DocId;Nom du professionnel;Partenaires;Activité du professionnel;Ville;Code postal du professionnel;Site Web;Adresse;Téléphone;Email de l'établissement;questionnaire_de_satisfaction;coordonnees_geographiques;region;departement
78877;SUNELIA ALUNA VACANCES;SUNELIA|DGE Auvergne Rhone-Alpes;Camping;RUOMS;07120;http://www.alunavacances.fr;900 ROUTE DE LAGORCE;04 75 93 93 15;a.paillet@avrd.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=78877;44.449617, 4.352555;Auvergne-Rhône-Alpes;Ardèche
78964;ATELIER GALERIE DU BORD DE SEINE;NORMANDIE QUALITE TOURISME|DGE Normandie|CCI Portes de Normandie;Lieu de visite;POSES;27740;http://www.mratel.fr;12 chemin du Halage;02 32 59 38 54;michele.ratel@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=78964;49.306261, 1.242981;Normandie;Eure
78966;CHATEAU DE VASCOEUIL;NORMANDIE QUALITE TOURISME|DGE Normandie|CCI Portes de Normandie;Lieu de visite;VASCOEUIL;27910;http://www.chateauvascoeuil.com;8 rue Jules Michelet;02 35 23 62 35;info@chateauvascoeuil.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=78966;49.44728, 1.37649;Normandie;Eure
91408;LES OLIVIERS;CCI Var|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Restaurant;BANDOL;83150;http://www.ile-rousse.com;25 Boulevard Louis Lumière;04 94 29 33 00;contact@ile-rousse.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=91408;43.133217, 5.751198;Provence-Alpes-Côte d'Azur;Var
79359;Musée portuaire de Dunkerque;DGE  Hauts de France|FEMS;Ecomusée;DUNKERQUE;59140;http://www.museeportuaire.com;9, quai de la Citadelle;03 28 63 33 39;contact@museeportuaire.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=79359;51.038132, 2.372346;Hauts-de-France;Nord
84504;SURFTRIP;DGE Nouvelle-Aquitaine|Landes Attractivité;Sport de nature;SOORTS-HOSSEGOR;40150;http://www.surftrip.fr;119 boulevard de la dune;06 81 90 84 12;contact@surftrip.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=84504;43.658495, -1.443428;Nouvelle-Aquitaine;Landes
84755;Ackerman;DGE Pays de la Loire|ADT Anjou;Lieu de visite;SAUMUR;49400;https://www.ackerman.fr/;19 rue Léopold Palustre St Hilaire St Florent;02 41 53 03 21;jgoudeau@ackerman.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=84755;47.272283, -0.106429;Pays de la Loire;Maine-et-Loire
88614;SALAGON, MUSEE ET JARDINS;CCI Digne|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA|ADT Alpes de Haute Provence;Lieu de visite;MANE;04300;http://www.musee-de-salagon.com;Le Prieuré;04 92 75 70 50;info-salagon@le04.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=88614;43.949268, 5.759093;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence
91384;Hôtel la Résidence;DGE Grand-Est|Partenaire - DIRECCTE Grand Est|Fédération Internationale des Logis;Hôtel-restaurant;LE VAL-D'AJOL;88340;http://www.la-residence.com;5, rue des Mousses.;03 29 30 68 52;contact@la-residence.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=91384;47.926711, 6.49134;Grand Est;Vosges
94135;LE BATEAU A ROUE;CCI Drome|CCI Auvergne-Rhône-Alpes|DGE Auvergne Rhone-Alpes;Lieu de visite;SAINT-NAZAIRE-EN-ROYANS;26190;https://www.visites-nature-vercors.com/fr/bateau-a-roue/decouvrir/;2-3 place des fontaines de Thaïs;0476644342;snat@visites-vercors.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=94135;45.06004, 5.246086;Auvergne-Rhône-Alpes;Drôme
