Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
Fremaux Delorme S.A.;45650160000211;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);HAUTS-DE-FRANCE;2019-08-30;2024-08-27;Ameublement et Décoration;50.68977333842053, 3.124531724023638
Bellonor;84323849400010;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);OCCITANIE;2019-08-30;2024-08-27;Mode et beauté;43.50180861588552, 3.7904145124988387
Les Ateliers Gauthier sas;41819651500021;14.19Z;Fabrication d'autres vêtements et accessoires;BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Mode et beauté;46.714497, 4.695352
BILLEBAULT;32092624900014;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;47.481861, 2.924241
CHANEL SAS;54205276600012;20.42Z;Fabrication de parfums et de produits pour la toilette (20.42Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Mode et beauté;48.882419, 2.266887
Bronze d'Art Français;95950357400037;25.99B;Fabrication d’autres articles métalliques (25.99B);AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Ameublement et Décoration;45.765642, 4.943705
CHEDEVILLE-LELANDAIS;48239849200025;32.20Z;Fabrication d’instruments de musique (32.20Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Culture et Communication;49.02849, 2.358972
C.I.R. (CIRE TRUDON);55205700200230;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);ILE-DE-FRANCE;2020-02-20;2025-02-17;Ameublement et Décoration;48.866102, 2.34107
SOCIÉTÉ D'EDITION RELIGIEUSE ET D'ARTICLES DE LOURDES (SERAL);62278052600019;32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires (32.13Z);OCCITANIE;2020-03-16;2025-03-14;Mode et beauté;43.103865, -0.055356
MENUISIER ET COMPAGNONS;49913304900019;43.32A;Travaux de menuiserie bois et PVC (43.32A);AUVERGNE-RHÔNE-ALPES;2020-03-16;2025-03-14;Architecture et Patrimoine Bâti;46.104236, 3.969165
CRISTEL;33984113200022;25.99A;Fabrication d’articles métalliques ménagers (25.99A);BOURGOGNE-FRANCHE-COMTÉ;2020-07-30;2025-07-28;Arts de la table;47.520684, 6.915215
GARAGE BONNE ROUTE;75014492500021;45.20A;Entretien et réparation de véhicules automobiles légers (45.20A);GRAND-EST;2020-10-01;2025-09-29;Loisirs et Transports;49.14192, 6.811118
LABONAL;42331542300016;14.31Z;Fabrication d’articles chaussants à mailles (14.31Z);GRAND-EST;2021-06-28;2026-06-26;Mode et beauté;48.328653, 7.424154
BERNARD RICHARDS MANUFACTURE;33945549500046;32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires (32.13Z);ILE-DE-FRANCE;2021-09-22;2026-09-20;Mode et beauté;49.15619, 1.799425
JEAN-FRANCOIS MOINET;44012803100026;95.25Z;Réparation d’articles d’horlogerie et de bijouterie (95.25Z);NOUVELLE AQUITAINE;2021-09-22;2026-09-20;Ameublement et Décoration;45.722819, -0.567013
COLIN;53009402800012;33.15Z;Réparation et maintenance navale (33.15Z);HAUTS-DE-FRANCE;2021-09-27;2026-09-25;Loisirs et Transports;50.759311, 2.279447
DISTILLERIE PAUL DEVOILLE;67555007300018;11.01Z;Production de boissons alcooliques distillées (11.01Z);BOURGOGNE-FRANCHE-COMTÉ;2021-10-29;2026-10-27;Gastronomie;47.886395, 6.412746
ATELIERS JOVIS;32136143800039;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";PAYS-DE-LA-LOIRE;2021-11-10;2026-11-08;Ameublement et Décoration;47.915412, 0.188463
LAURENCE BOSSION;49247779900026;14.19Z;Fabrication d’autres vêtements et accessoires (14.19Z);ILE-DE-FRANCE;2021-11-23;2026-11-21;Mode et beauté;48.864407, 2.331715
DECAYEUX S.T.I.;61568020400018;25.50B;Découpage, emboutissage (25.50B);HAUTS-DE-FRANCE;2022-01-28;2027-01-26;Architecture et Patrimoine Bâti;50.097668, 1.590545
FONTANILLE SCOP;78967416500012;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);AUVERGNE-RHÔNE-ALPES;2022-03-22;2027-03-20;Mode et beauté;45.038414, 3.869536
TERRES CUITES DES RAIRIES;66668011100026;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite (23.32Z);PAYS-DE-LA-LOIRE;2022-03-31;2027-03-29;Architecture et Patrimoine Bâti;47.650677, -0.202316
STENGER PLATRES & STAFF;43434679700039;43.31Z;Travaux de plâtrerie (43.31Z);GRAND-EST;2022-04-14;2027-04-12;Architecture et Patrimoine Bâti;48.556206, 7.766769
BIANCHI;50786479100029;95.25Z;Réparation d’articles d’horlogerie et de bijouterie (95.25Z);GRAND-EST;2022-04-14;2027-04-12;Mode et beauté;49.198083, 6.160804
ETS RIGOTTI;30340898300029;32.20Z;Fabrication d’instruments de musique (32.20Z);PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Culture et Communication;43.257428, 6.522602
SARL ATELIER ISAB.ET LAURENT BOUISSIERE;41033785100027;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);OCCITANIE;2022-10-10;2027-10-08;Mode et beauté;49.585216, -1.262166
SOCIETE COOPERATIVE AGRICOLE DE VANNERIE;77535313900014;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";CENTRE-VAL-DE-LOIRE;2023-02-02;2028-01-31;Ameublement et Décoration;47.224723, 0.494437
LONGCHAMP;73705018700092;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2023-05-05;2028-05-02;Mode et beauté;48.867788, 2.324588
BISCUITERIE VITAL;33460890800029;10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation (10.72Z);OCCITANIE;2023-06-05;2028-06-02;Gastronomie;43.196047, 1.002929
ART ET STYLE;30527445800028;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);ILE-DE-FRANCE;2023-06-15;2028-06-12;Ameublement et Décoration;48.856046, 2.393024
ABC LEROYER;51904665000023;43.91A;Travaux de charpente (43.91A);PAYS-DE-LA-LOIRE;2023-06-20;2028-06-17;Architecture et Patrimoine Bâti;48.144526, -0.11775
MICHALON*/PASCAL  /;39158221000012;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Ameublement et Décoration;45.176111, 4.06964
SARL DEGROOTE ET MUSSY;71200061100046;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2023-09-11;2028-09-08;Ameublement et Décoration;48.146882, -1.76129
SARL ATELIER DE VITRAIL SAINT JOSEPH;44932217100017;23.19Z;Fabrication et façonnage d’autres articles en verre, y compris verre technique (23.19Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Architecture et Patrimoine Bâti;43.493443, 2.369148
ATELIERS DENIS SIEBERING;40373323100019;23.12Z;Façonnage et transformation du verre plat (23.12Z);GRAND-EST;2023-12-29;2028-12-26;Ameublement et Décoration;49.041363, 7.393231
PLASTIMER;42386637500011;30.11Z;Construction de navires et de structures flottantes;BRETAGNE;2024-01-30;2029-01-27;Loisirs et Transports;48.96224, 7.651731
